"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1625","should show password above maximum length inline error","signup","Mon Jan 19 00:21:25 UTC 2026","passed","Mon Jan 19 00:21:27 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2065","should show password mismatch inline error","signup","Mon Jan 19 00:21:21 UTC 2026","passed","Mon Jan 19 00:21:24 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1658","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Mon Jan 19 00:21:13 UTC 2026","passed","Mon Jan 19 00:21:15 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1700","should not submit form and show inline errors when mandatory fields are empty","signup","Mon Jan 19 00:21:16 UTC 2026","passed","Mon Jan 19 00:21:18 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","208","consent","accept-consent","Mon Jan 19 00:21:15 UTC 2026","passed","Mon Jan 19 00:21:15 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","3040","should signup link have correct href","signup","Mon Jan 19 00:21:36 UTC 2026","passed","Mon Jan 19 00:21:39 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1644","should not allow signup with malicious strings","signup","Mon Jan 19 00:21:23 UTC 2026","passed","Mon Jan 19 00:21:25 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1667","should show password below minimum length inline error","signup","Mon Jan 19 00:21:24 UTC 2026","passed","Mon Jan 19 00:21:25 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1","should show invalid email inline error when email does not have characters after @","signup","Mon Jan 19 00:21:24 UTC 2026","skipped","Mon Jan 19 00:21:24 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","10681","should block user after multiple failed login attempts","signup","Mon Jan 19 00:21:43 UTC 2026","passed","Mon Jan 19 00:21:54 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","1122","should have correct link for terms of service","signup","Mon Jan 19 00:21:20 UTC 2026","passed","Mon Jan 19 00:21:22 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1926","should not show password minimum chars length inline error","signup","Mon Jan 19 00:21:27 UTC 2026","passed","Mon Jan 19 00:21:29 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","6342","should create account when valid inputs are provided and phone number is not from region of purchase","signup","Mon Jan 19 00:21:25 UTC 2026","passed","Mon Jan 19 00:21:31 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","5418","should not login when invalid username is provided","signup","Mon Jan 19 00:21:18 UTC 2026","passed","Mon Jan 19 00:21:24 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1","should have correct link for privacy policy","signup","Mon Jan 19 00:21:22 UTC 2026","skipped","Mon Jan 19 00:21:22 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1","should show consent on first visit","signup","Mon Jan 19 00:21:16 UTC 2026","skipped","Mon Jan 19 00:21:16 UTC 2026","Consent Page - EN > First Visit","tests/consent.spec.ts","",""
"","3480","should show inline errors when empty fields are submitted","signup","Mon Jan 19 00:21:27 UTC 2026","passed","Mon Jan 19 00:21:30 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
