"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2316","should not allow signup with malicious strings","signup","Mon Jan 19 22:48:44 UTC 2026","passed","Mon Jan 19 22:48:47 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","2441","should show password mismatch inline error","signup","Mon Jan 19 22:48:42 UTC 2026","passed","Mon Jan 19 22:48:44 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","5014","should allow user to reset password","signup","Mon Jan 19 22:48:48 UTC 2026","passed","Mon Jan 19 22:48:53 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1","should have correct link for privacy policy","signup","Mon Jan 19 22:48:42 UTC 2026","skipped","Mon Jan 19 22:48:42 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","9255","should block user after multiple failed login attempts","signup","Mon Jan 19 22:49:00 UTC 2026","passed","Mon Jan 19 22:49:09 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","1872","should not show password maximum chars length inline error","signup","Mon Jan 19 22:48:51 UTC 2026","passed","Mon Jan 19 22:48:53 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1978","should not show password minimum chars length inline error","signup","Mon Jan 19 22:48:49 UTC 2026","passed","Mon Jan 19 22:48:51 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1921","should show invalid phone number inline error","signup","Mon Jan 19 22:48:37 UTC 2026","passed","Mon Jan 19 22:48:39 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2175","should show password below minimum length inline error","signup","Mon Jan 19 22:48:44 UTC 2026","passed","Mon Jan 19 22:48:46 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2928","should show inline errors when empty fields are submitted","signup","Mon Jan 19 22:48:45 UTC 2026","passed","Mon Jan 19 22:48:48 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2497","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Mon Jan 19 22:48:31 UTC 2026","passed","Mon Jan 19 22:48:33 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1785","should have correct link for terms of service","signup","Mon Jan 19 22:48:41 UTC 2026","passed","Mon Jan 19 22:48:42 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","0","should not allow account creation for non-Canadian phone numbers","signup","Mon Jan 19 22:49:01 UTC 2026","skipped","Mon Jan 19 22:49:01 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","2903","should show invalid email inline error when invalid email format is provided","signup","Mon Jan 19 22:48:43 UTC 2026","passed","Mon Jan 19 22:48:45 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","3918","should not login when password provided is incorrect for an existing user","signup","Mon Jan 19 22:48:56 UTC 2026","passed","Mon Jan 19 22:49:00 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
