"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should have correct link for privacy policy","signup","Sun Jan 18 22:14:54 UTC 2026","skipped","Sun Jan 18 22:14:54 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","0","should show consent on first visit","signup","Sun Jan 18 22:14:41 UTC 2026","skipped","Sun Jan 18 22:14:41 UTC 2026","Consent Page - EN > First Visit","tests/consent.spec.ts","",""
"","5258","should allow user to reset password","signup","Sun Jan 18 22:14:54 UTC 2026","passed","Sun Jan 18 22:14:59 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","0","should show invalid email inline error when invalid email is provided","signup","Sun Jan 18 22:14:48 UTC 2026","skipped","Sun Jan 18 22:14:48 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2149","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Sun Jan 18 22:14:41 UTC 2026","passed","Sun Jan 18 22:14:43 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2448","should show invalid email address inline error","signup","Sun Jan 18 22:14:46 UTC 2026","passed","Sun Jan 18 22:14:49 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1867","should show invalid phone number inline error","signup","Sun Jan 18 22:14:44 UTC 2026","passed","Sun Jan 18 22:14:46 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","3137","should show invalid email inline error when invalid email format is provided","signup","Sun Jan 18 22:14:48 UTC 2026","passed","Sun Jan 18 22:14:51 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1810","should show password does not match requirements inline error","signup","Sun Jan 18 22:14:59 UTC 2026","passed","Sun Jan 18 22:15:01 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2058","should not show password minimum chars length inline error","signup","Sun Jan 18 22:14:55 UTC 2026","passed","Sun Jan 18 22:14:57 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1205","should have correct link for terms of service","signup","Sun Jan 18 22:14:53 UTC 2026","passed","Sun Jan 18 22:14:54 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1570","should not show password maximum chars length inline error","signup","Sun Jan 18 22:14:57 UTC 2026","passed","Sun Jan 18 22:14:59 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1929","should show password below minimum length inline error","signup","Sun Jan 18 22:14:51 UTC 2026","passed","Sun Jan 18 22:14:53 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","6673","should create account when valid inputs are provided","signup","Sun Jan 18 22:15:06 UTC 2026","passed","Sun Jan 18 22:15:13 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","0","should not allow account creation for non-Canadian phone numbers","signup","Sun Jan 18 22:15:13 UTC 2026","skipped","Sun Jan 18 22:15:13 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","2416","should show password mismatch inline error","signup","Sun Jan 18 22:14:49 UTC 2026","passed","Sun Jan 18 22:14:51 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should show inline error when phone number and country selection are different","signup","Sun Jan 18 22:14:44 UTC 2026","skipped","Sun Jan 18 22:14:44 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","4681","should not login when invalid username is provided","signup","Sun Jan 18 22:14:43 UTC 2026","passed","Sun Jan 18 22:14:48 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","192","consent","accept-consent","Sun Jan 18 22:14:41 UTC 2026","passed","Sun Jan 18 22:14:41 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","1880","should not allow signup with malicious strings","signup","Sun Jan 18 22:14:56 UTC 2026","passed","Sun Jan 18 22:14:58 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","3944","should not login when password provided is incorrect for an existing user","signup","Sun Jan 18 22:15:02 UTC 2026","passed","Sun Jan 18 22:15:06 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","3010","should signup link have correct href","signup","Sun Jan 18 22:14:59 UTC 2026","passed","Sun Jan 18 22:15:02 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2903","should show inline errors when empty fields are submitted","signup","Sun Jan 18 22:14:51 UTC 2026","passed","Sun Jan 18 22:14:54 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2140","should display toast error when signup using email from existing user","signup","Sun Jan 18 22:14:54 UTC 2026","passed","Sun Jan 18 22:14:56 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","4532","should redirect to login page when clicking the login link","signup","Sun Jan 18 22:14:48 UTC 2026","passed","Sun Jan 18 22:14:53 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","2389","should switch language when clicking the language toggle","signup","Sun Jan 18 22:14:46 UTC 2026","passed","Sun Jan 18 22:14:48 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","10886","should block user after multiple failed login attempts","signup","Sun Jan 18 22:15:06 UTC 2026","passed","Sun Jan 18 22:15:17 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","1982","should show password above maximum length inline error","signup","Sun Jan 18 22:14:53 UTC 2026","passed","Sun Jan 18 22:14:55 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1061","should not show consent to a user that already accepted it","signup","Sun Jan 18 22:14:42 UTC 2026","passed","Sun Jan 18 22:14:43 UTC 2026","Consent Page - EN > Returning User","tests/consent.spec.ts","",""
"","7770","should create account when valid inputs are provided and phone number is not from region of purchase","signup","Sun Jan 18 22:14:58 UTC 2026","passed","Sun Jan 18 22:15:06 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","2206","should not submit form and show inline errors when mandatory fields are empty","signup","Sun Jan 18 22:14:42 UTC 2026","passed","Sun Jan 18 22:14:44 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
