"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3099","should show inline errors when empty fields are submitted","signup","Mon Jan 19 22:39:37 UTC 2026","passed","Mon Jan 19 22:39:40 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1","should have correct link for privacy policy","signup","Mon Jan 19 22:39:42 UTC 2026","skipped","Mon Jan 19 22:39:42 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","3084","should signup link have correct href","signup","Mon Jan 19 22:39:45 UTC 2026","passed","Mon Jan 19 22:39:49 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2634","should not submit form and show inline errors when mandatory fields are empty","signup","Mon Jan 19 22:39:25 UTC 2026","passed","Mon Jan 19 22:39:28 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1551","should not show consent to a user that already accepted it","signup","Mon Jan 19 22:39:27 UTC 2026","passed","Mon Jan 19 22:39:28 UTC 2026","Consent Page - EN > Returning User","tests/consent.spec.ts","",""
"","2235","should not allow signup with malicious strings","signup","Mon Jan 19 22:39:44 UTC 2026","passed","Mon Jan 19 22:39:46 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","4105","should not login when password provided is incorrect for an existing user","signup","Mon Jan 19 22:39:49 UTC 2026","passed","Mon Jan 19 22:39:53 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2121","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Mon Jan 19 22:39:32 UTC 2026","passed","Mon Jan 19 22:39:34 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1750","should show password does not match requirements inline error","signup","Mon Jan 19 22:39:43 UTC 2026","passed","Mon Jan 19 22:39:45 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","10476","should block user after multiple failed login attempts","signup","Mon Jan 19 22:39:53 UTC 2026","passed","Mon Jan 19 22:40:03 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","1","should show invalid email inline error when email does not have characters after @","signup","Mon Jan 19 22:39:33 UTC 2026","skipped","Mon Jan 19 22:39:33 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
