"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should not allow account creation for non-Canadian phone numbers","signup","Sun Jan 18 22:02:55 UTC 2026","skipped","Sun Jan 18 22:02:55 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","2480","should show password mismatch inline error","signup","Sun Jan 18 22:02:27 UTC 2026","passed","Sun Jan 18 22:02:29 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","5084","should allow user to reset password","signup","Sun Jan 18 22:02:37 UTC 2026","passed","Sun Jan 18 22:02:42 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2355","should switch language when clicking the language toggle","signup","Sun Jan 18 22:02:28 UTC 2026","passed","Sun Jan 18 22:02:30 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","4756","should redirect to login page when clicking the login link","signup","Sun Jan 18 22:02:30 UTC 2026","passed","Sun Jan 18 22:02:35 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","218","consent","accept-consent","Sun Jan 18 22:02:24 UTC 2026","passed","Sun Jan 18 22:02:25 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","2052","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Sun Jan 18 22:02:26 UTC 2026","passed","Sun Jan 18 22:02:28 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","5252","should not login when invalid username is provided","signup","Sun Jan 18 22:02:25 UTC 2026","passed","Sun Jan 18 22:02:30 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","4534","should not login when password provided is incorrect for an existing user","signup","Sun Jan 18 22:02:46 UTC 2026","passed","Sun Jan 18 22:02:51 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1406","should not show password maximum chars length inline error","signup","Sun Jan 18 22:02:35 UTC 2026","passed","Sun Jan 18 22:02:36 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","3419","should show invalid email inline error when invalid email format is provided","signup","Sun Jan 18 22:02:30 UTC 2026","passed","Sun Jan 18 22:02:34 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","11069","should block user after multiple failed login attempts","signup","Sun Jan 18 22:02:51 UTC 2026","passed","Sun Jan 18 22:03:02 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
