"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1947","should show invalid phone number inline error","signup","Tue Jan 20 16:32:50 UTC 2026","passed","Tue Jan 20 16:32:52 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1575","should not allow signup with malicious strings","signup","Tue Jan 20 16:32:54 UTC 2026","passed","Tue Jan 20 16:32:55 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1385","should switch language when clicking the language toggle","signup","Tue Jan 20 16:32:46 UTC 2026","passed","Tue Jan 20 16:32:47 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","3836","should redirect to login page when clicking the login link","signup","Tue Jan 20 16:32:47 UTC 2026","passed","Tue Jan 20 16:32:51 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","3709","should show inline errors when empty fields are submitted","signup","Tue Jan 20 16:33:03 UTC 2026","passed","Tue Jan 20 16:33:07 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","0","should not allow account creation for non-Canadian phone numbers","signup","Tue Jan 20 16:33:08 UTC 2026","skipped","Tue Jan 20 16:33:08 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","3415","should signup link have correct href","signup","Tue Jan 20 16:33:12 UTC 2026","passed","Tue Jan 20 16:33:15 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1969","should show invalid email address inline error","signup","Tue Jan 20 16:32:52 UTC 2026","passed","Tue Jan 20 16:32:54 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","205","consent","accept-consent","Tue Jan 20 16:32:46 UTC 2026","passed","Tue Jan 20 16:32:46 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","1886","should show password above maximum length inline error","signup","Tue Jan 20 16:32:58 UTC 2026","passed","Tue Jan 20 16:33:00 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1","should show inline error when phone number and country selection are different","signup","Tue Jan 20 16:32:50 UTC 2026","skipped","Tue Jan 20 16:32:50 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","5563","should create account when valid inputs are provided","signup","Tue Jan 20 16:33:02 UTC 2026","passed","Tue Jan 20 16:33:07 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","4959","should not login when invalid username is provided","signup","Tue Jan 20 16:32:54 UTC 2026","passed","Tue Jan 20 16:32:59 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","7180","should allow user to login when valid credentials are provided","signup","Tue Jan 20 16:32:47 UTC 2026","passed","Tue Jan 20 16:32:54 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","10906","should block user after multiple failed login attempts","signup","Tue Jan 20 16:33:20 UTC 2026","passed","Tue Jan 20 16:33:31 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","6611","should create account when valid inputs are provided and phone number is not from region of purchase","signup","Tue Jan 20 16:32:55 UTC 2026","passed","Tue Jan 20 16:33:02 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","2309","should show password mismatch inline error","signup","Tue Jan 20 16:32:54 UTC 2026","passed","Tue Jan 20 16:32:56 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","983","should have correct link for terms of service","signup","Tue Jan 20 16:32:51 UTC 2026","passed","Tue Jan 20 16:32:52 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","2499","should not submit form and show inline errors when mandatory fields are empty","signup","Tue Jan 20 16:32:47 UTC 2026","passed","Tue Jan 20 16:32:50 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1473","should not show consent to a user that already accepted it","signup","Tue Jan 20 16:32:45 UTC 2026","passed","Tue Jan 20 16:32:47 UTC 2026","Consent Page - EN > Returning User","tests/consent.spec.ts","",""
"","4676","should not login when password provided is incorrect for an existing user","signup","Tue Jan 20 16:33:15 UTC 2026","passed","Tue Jan 20 16:33:20 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1725","should display toast error when signup using email from existing user","signup","Tue Jan 20 16:32:52 UTC 2026","passed","Tue Jan 20 16:32:54 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1845","should not show password maximum chars length inline error","signup","Tue Jan 20 16:33:02 UTC 2026","passed","Tue Jan 20 16:33:03 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","3449","should show invalid email inline error when invalid email format is provided","signup","Tue Jan 20 16:32:59 UTC 2026","passed","Tue Jan 20 16:33:03 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","5476","should allow user to reset password","signup","Tue Jan 20 16:33:07 UTC 2026","passed","Tue Jan 20 16:33:12 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1757","should not show password minimum chars length inline error","signup","Tue Jan 20 16:33:00 UTC 2026","passed","Tue Jan 20 16:33:02 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should have correct link for privacy policy","signup","Tue Jan 20 16:32:52 UTC 2026","skipped","Tue Jan 20 16:32:52 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","0","should show invalid email inline error when email does not have characters after @","signup","Tue Jan 20 16:32:59 UTC 2026","skipped","Tue Jan 20 16:32:59 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2006","should show password does not match requirements inline error","signup","Tue Jan 20 16:33:03 UTC 2026","passed","Tue Jan 20 16:33:05 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1927","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Tue Jan 20 16:32:44 UTC 2026","passed","Tue Jan 20 16:32:46 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should show consent on first visit","signup","Tue Jan 20 16:32:45 UTC 2026","skipped","Tue Jan 20 16:32:45 UTC 2026","Consent Page - EN > First Visit","tests/consent.spec.ts","",""
"","1828","should show password below minimum length inline error","signup","Tue Jan 20 16:32:56 UTC 2026","passed","Tue Jan 20 16:32:58 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
