"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should show invalid email inline error when email does not have characters after @","signup","Tue Jan 20 05:14:09 UTC 2026","skipped","Tue Jan 20 05:14:09 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","3568","should show invalid email inline error when invalid email format is provided","signup","Tue Jan 20 05:14:09 UTC 2026","passed","Tue Jan 20 05:14:13 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1428","should show password above maximum length inline error","signup","Tue Jan 20 05:14:09 UTC 2026","passed","Tue Jan 20 05:14:10 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should show consent on first visit","signup","Tue Jan 20 05:14:02 UTC 2026","skipped","Tue Jan 20 05:14:02 UTC 2026","Consent Page - EN > First Visit","tests/consent.spec.ts","",""
"","3329","should show inline errors when empty fields are submitted","signup","Tue Jan 20 05:14:13 UTC 2026","passed","Tue Jan 20 05:14:16 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1479","should switch language when clicking the language toggle","signup","Tue Jan 20 05:14:03 UTC 2026","passed","Tue Jan 20 05:14:05 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1098","should have correct link for terms of service","signup","Tue Jan 20 05:14:09 UTC 2026","passed","Tue Jan 20 05:14:10 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","3340","should signup link have correct href","signup","Tue Jan 20 05:14:21 UTC 2026","passed","Tue Jan 20 05:14:25 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1725","should show invalid phone number inline error","signup","Tue Jan 20 05:14:03 UTC 2026","passed","Tue Jan 20 05:14:04 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1503","should show invalid email address inline error","signup","Tue Jan 20 05:14:04 UTC 2026","passed","Tue Jan 20 05:14:06 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1466","should not show password minimum chars length inline error","signup","Tue Jan 20 05:14:10 UTC 2026","passed","Tue Jan 20 05:14:12 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1852","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Tue Jan 20 05:14:01 UTC 2026","passed","Tue Jan 20 05:14:03 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","194","consent","accept-consent","Tue Jan 20 05:14:01 UTC 2026","passed","Tue Jan 20 05:14:01 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","0","should have correct link for privacy policy","signup","Tue Jan 20 05:14:10 UTC 2026","skipped","Tue Jan 20 05:14:10 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","3853","should redirect to login page when clicking the login link","signup","Tue Jan 20 05:14:05 UTC 2026","passed","Tue Jan 20 05:14:09 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","4929","should not login when invalid username is provided","signup","Tue Jan 20 05:14:04 UTC 2026","passed","Tue Jan 20 05:14:09 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","4431","should not login when password provided is incorrect for an existing user","signup","Tue Jan 20 05:14:25 UTC 2026","passed","Tue Jan 20 05:14:29 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","5202","should allow user to reset password","signup","Tue Jan 20 05:14:16 UTC 2026","passed","Tue Jan 20 05:14:21 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","6516","should create account when valid inputs are provided and phone number is not from region of purchase","signup","Tue Jan 20 05:14:13 UTC 2026","passed","Tue Jan 20 05:14:20 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","10458","should block user after multiple failed login attempts","signup","Tue Jan 20 05:14:29 UTC 2026","passed","Tue Jan 20 05:14:40 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","1412","should show password does not match requirements inline error","signup","Tue Jan 20 05:14:13 UTC 2026","passed","Tue Jan 20 05:14:15 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1455","should show password below minimum length inline error","signup","Tue Jan 20 05:14:08 UTC 2026","passed","Tue Jan 20 05:14:09 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1","should show inline error when phone number and country selection are different","signup","Tue Jan 20 05:14:03 UTC 2026","skipped","Tue Jan 20 05:14:03 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","5121","should create account when valid inputs are provided","signup","Tue Jan 20 05:14:20 UTC 2026","passed","Tue Jan 20 05:14:25 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","1386","should not show password maximum chars length inline error","signup","Tue Jan 20 05:14:12 UTC 2026","passed","Tue Jan 20 05:14:13 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1827","should not submit form and show inline errors when mandatory fields are empty","signup","Tue Jan 20 05:14:01 UTC 2026","passed","Tue Jan 20 05:14:03 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
