"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3932","should not login when password provided is incorrect for an existing user","signup","Tue Jan 20 02:03:17 UTC 2026","passed","Tue Jan 20 02:03:21 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","0","should show invalid email inline error when email does not have characters after @","signup","Tue Jan 20 02:03:03 UTC 2026","skipped","Tue Jan 20 02:03:03 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","5337","should allow user to reset password","signup","Tue Jan 20 02:03:09 UTC 2026","passed","Tue Jan 20 02:03:14 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1869","should display toast error when signup using email from existing user","signup","Tue Jan 20 02:03:07 UTC 2026","passed","Tue Jan 20 02:03:09 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","7130","should create account when valid inputs are provided and phone number is not from region of purchase","signup","Tue Jan 20 02:03:11 UTC 2026","passed","Tue Jan 20 02:03:18 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","2695","should show password mismatch inline error","signup","Tue Jan 20 02:03:03 UTC 2026","passed","Tue Jan 20 02:03:06 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1856","should not show password minimum chars length inline error","signup","Tue Jan 20 02:03:09 UTC 2026","passed","Tue Jan 20 02:03:11 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1531","should show password below minimum length inline error","signup","Tue Jan 20 02:03:06 UTC 2026","passed","Tue Jan 20 02:03:07 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","4366","should not login when invalid username is provided","signup","Tue Jan 20 02:02:58 UTC 2026","passed","Tue Jan 20 02:03:03 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","172","consent","accept-consent","Tue Jan 20 02:02:56 UTC 2026","passed","Tue Jan 20 02:02:56 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","1","should have correct link for privacy policy","signup","Tue Jan 20 02:03:07 UTC 2026","skipped","Tue Jan 20 02:03:07 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","0","should show inline error when phone number and country selection are different","signup","Tue Jan 20 02:02:59 UTC 2026","skipped","Tue Jan 20 02:02:59 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2002","should not show password maximum chars length inline error","signup","Tue Jan 20 02:03:11 UTC 2026","passed","Tue Jan 20 02:03:13 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2254","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Tue Jan 20 02:02:56 UTC 2026","passed","Tue Jan 20 02:02:58 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","9621","should block user after multiple failed login attempts","signup","Tue Jan 20 02:03:21 UTC 2026","passed","Tue Jan 20 02:03:31 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","1813","should not submit form and show inline errors when mandatory fields are empty","signup","Tue Jan 20 02:02:58 UTC 2026","passed","Tue Jan 20 02:02:59 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","5091","should redirect to login page when clicking the login link","signup","Tue Jan 20 02:03:01 UTC 2026","passed","Tue Jan 20 02:03:06 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","2208","should switch language when clicking the language toggle","signup","Tue Jan 20 02:02:58 UTC 2026","passed","Tue Jan 20 02:03:01 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","7610","should create account when valid inputs are provided","signup","Tue Jan 20 02:03:18 UTC 2026","passed","Tue Jan 20 02:03:26 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","3161","should show invalid email inline error when invalid email format is provided","signup","Tue Jan 20 02:03:03 UTC 2026","passed","Tue Jan 20 02:03:06 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","3098","should show inline errors when empty fields are submitted","signup","Tue Jan 20 02:03:06 UTC 2026","passed","Tue Jan 20 02:03:09 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1687","should have correct link for terms of service","signup","Tue Jan 20 02:03:06 UTC 2026","passed","Tue Jan 20 02:03:07 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
