"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1662","should show password does not match requirements inline error","signup","Sun Jan 18 22:05:07 UTC 2026","passed","Sun Jan 18 22:05:09 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1755","should not allow signup with malicious strings","signup","Sun Jan 18 22:05:02 UTC 2026","passed","Sun Jan 18 22:05:04 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","2139","should show password below minimum length inline error","signup","Sun Jan 18 22:05:00 UTC 2026","passed","Sun Jan 18 22:05:02 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","207","consent","accept-consent","Sun Jan 18 22:04:50 UTC 2026","passed","Sun Jan 18 22:04:51 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","0","should show consent on first visit","signup","Sun Jan 18 22:04:47 UTC 2026","skipped","Sun Jan 18 22:04:47 UTC 2026","Consent Page - EN > First Visit","tests/consent.spec.ts","",""
"","1","should show invalid email inline error when invalid email is provided","signup","Sun Jan 18 22:04:53 UTC 2026","skipped","Sun Jan 18 22:04:53 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","5113","should allow user to reset password","signup","Sun Jan 18 22:04:59 UTC 2026","passed","Sun Jan 18 22:05:04 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","6906","should create account when valid inputs are provided and phone number is not from region of purchase","signup","Sun Jan 18 22:05:04 UTC 2026","passed","Sun Jan 18 22:05:11 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","0","should have correct link for privacy policy","signup","Sun Jan 18 22:05:00 UTC 2026","skipped","Sun Jan 18 22:05:00 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","2298","should show invalid email address inline error","signup","Sun Jan 18 22:04:56 UTC 2026","passed","Sun Jan 18 22:04:58 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1651","should not show password minimum chars length inline error","signup","Sun Jan 18 22:05:04 UTC 2026","passed","Sun Jan 18 22:05:06 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1926","should show password mismatch inline error","signup","Sun Jan 18 22:04:58 UTC 2026","passed","Sun Jan 18 22:05:00 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","3845","should redirect to login page when clicking the login link","signup","Sun Jan 18 22:04:55 UTC 2026","passed","Sun Jan 18 22:04:59 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1806","should show password above maximum length inline error","signup","Sun Jan 18 22:05:02 UTC 2026","passed","Sun Jan 18 22:05:04 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","9514","should block user after multiple failed login attempts","signup","Sun Jan 18 22:05:11 UTC 2026","passed","Sun Jan 18 22:05:21 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","1824","should switch language when clicking the language toggle","signup","Sun Jan 18 22:04:53 UTC 2026","passed","Sun Jan 18 22:04:55 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1964","should display toast error when signup using email from existing user","signup","Sun Jan 18 22:05:00 UTC 2026","passed","Sun Jan 18 22:05:02 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1917","should not submit form and show inline errors when mandatory fields are empty","signup","Sun Jan 18 22:04:52 UTC 2026","passed","Sun Jan 18 22:04:54 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should show inline error when phone number and country selection are different","signup","Sun Jan 18 22:04:54 UTC 2026","skipped","Sun Jan 18 22:04:54 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1503","should not show password maximum chars length inline error","signup","Sun Jan 18 22:05:06 UTC 2026","passed","Sun Jan 18 22:05:07 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should not allow account creation for non-Canadian phone numbers","signup","Sun Jan 18 22:05:17 UTC 2026","skipped","Sun Jan 18 22:05:17 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","1764","should show invalid phone number inline error","signup","Sun Jan 18 22:04:54 UTC 2026","passed","Sun Jan 18 22:04:56 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","4115","should not login when password provided is incorrect for an existing user","signup","Sun Jan 18 22:05:07 UTC 2026","passed","Sun Jan 18 22:05:11 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2895","should show inline errors when empty fields are submitted","signup","Sun Jan 18 22:04:56 UTC 2026","passed","Sun Jan 18 22:04:59 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1082","should not show consent to a user that already accepted it","signup","Sun Jan 18 22:04:47 UTC 2026","passed","Sun Jan 18 22:04:48 UTC 2026","Consent Page - EN > Returning User","tests/consent.spec.ts","",""
"","2450","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Sun Jan 18 22:04:51 UTC 2026","passed","Sun Jan 18 22:04:53 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2809","should signup link have correct href","signup","Sun Jan 18 22:05:04 UTC 2026","passed","Sun Jan 18 22:05:07 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","3204","should show invalid email inline error when invalid email format is provided","signup","Sun Jan 18 22:04:53 UTC 2026","passed","Sun Jan 18 22:04:56 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1456","should have correct link for terms of service","signup","Sun Jan 18 22:04:59 UTC 2026","passed","Sun Jan 18 22:05:00 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","5806","should create account when valid inputs are provided","signup","Sun Jan 18 22:05:11 UTC 2026","passed","Sun Jan 18 22:05:17 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","4494","should not login when invalid username is provided","signup","Sun Jan 18 22:04:49 UTC 2026","passed","Sun Jan 18 22:04:53 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
