"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4994","should allow user to reset password","signup","Tue Jan 20 04:56:05 UTC 2026","passed","Tue Jan 20 04:56:10 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1382","should show password above maximum length inline error","signup","Tue Jan 20 04:56:00 UTC 2026","passed","Tue Jan 20 04:56:01 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1522","should show invalid phone number inline error","signup","Tue Jan 20 04:55:53 UTC 2026","passed","Tue Jan 20 04:55:55 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1758","should switch language when clicking the language toggle","signup","Tue Jan 20 04:55:51 UTC 2026","passed","Tue Jan 20 04:55:53 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","7562","should create account when valid inputs are provided and phone number is not from region of purchase","signup","Tue Jan 20 04:56:02 UTC 2026","passed","Tue Jan 20 04:56:10 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","2796","should signup link have correct href","signup","Tue Jan 20 04:56:10 UTC 2026","passed","Tue Jan 20 04:56:12 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1187","should have correct link for terms of service","signup","Tue Jan 20 04:55:57 UTC 2026","passed","Tue Jan 20 04:55:58 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","0","should show invalid email inline error when email does not have characters after @","signup","Tue Jan 20 04:55:58 UTC 2026","skipped","Tue Jan 20 04:55:58 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2945","should show inline errors when empty fields are submitted","signup","Tue Jan 20 04:56:02 UTC 2026","passed","Tue Jan 20 04:56:05 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1694","should show password mismatch inline error","signup","Tue Jan 20 04:55:56 UTC 2026","passed","Tue Jan 20 04:55:58 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should have correct link for privacy policy","signup","Tue Jan 20 04:55:58 UTC 2026","skipped","Tue Jan 20 04:55:58 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1597","should show invalid email address inline error","signup","Tue Jan 20 04:55:55 UTC 2026","passed","Tue Jan 20 04:55:56 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","3114","should show invalid email inline error when invalid email format is provided","signup","Tue Jan 20 04:55:58 UTC 2026","passed","Tue Jan 20 04:56:02 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1","should not allow account creation for non-Canadian phone numbers","signup","Tue Jan 20 04:56:15 UTC 2026","skipped","Tue Jan 20 04:56:15 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","0","should show inline error when phone number and country selection are different","signup","Tue Jan 20 04:55:53 UTC 2026","skipped","Tue Jan 20 04:55:53 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1801","should not submit form and show inline errors when mandatory fields are empty","signup","Tue Jan 20 04:55:51 UTC 2026","passed","Tue Jan 20 04:55:53 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","9253","should block user after multiple failed login attempts","signup","Tue Jan 20 04:56:16 UTC 2026","passed","Tue Jan 20 04:56:26 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","1602","should show password below minimum length inline error","signup","Tue Jan 20 04:55:58 UTC 2026","passed","Tue Jan 20 04:55:59 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1","should show consent on first visit","signup","Tue Jan 20 04:55:52 UTC 2026","skipped","Tue Jan 20 04:55:52 UTC 2026","Consent Page - EN > First Visit","tests/consent.spec.ts","",""
"","1136","should not show consent to a user that already accepted it","signup","Tue Jan 20 04:55:53 UTC 2026","passed","Tue Jan 20 04:55:54 UTC 2026","Consent Page - EN > Returning User","tests/consent.spec.ts","",""
"","4371","should redirect to login page when clicking the login link","signup","Tue Jan 20 04:55:53 UTC 2026","passed","Tue Jan 20 04:55:57 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1440","should not show password maximum chars length inline error","signup","Tue Jan 20 04:56:02 UTC 2026","passed","Tue Jan 20 04:56:04 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2058","should not allow signup with malicious strings","signup","Tue Jan 20 04:56:00 UTC 2026","passed","Tue Jan 20 04:56:02 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","180","consent","accept-consent","Tue Jan 20 04:55:51 UTC 2026","passed","Tue Jan 20 04:55:52 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","3910","should not login when password provided is incorrect for an existing user","signup","Tue Jan 20 04:56:12 UTC 2026","passed","Tue Jan 20 04:56:16 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","5868","should create account when valid inputs are provided","signup","Tue Jan 20 04:56:10 UTC 2026","passed","Tue Jan 20 04:56:15 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","1516","should not show password minimum chars length inline error","signup","Tue Jan 20 04:56:01 UTC 2026","passed","Tue Jan 20 04:56:02 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1609","should display toast error when signup using email from existing user","signup","Tue Jan 20 04:55:58 UTC 2026","passed","Tue Jan 20 04:56:00 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1381","should show password does not match requirements inline error","signup","Tue Jan 20 04:56:04 UTC 2026","passed","Tue Jan 20 04:56:05 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1887","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Tue Jan 20 04:55:49 UTC 2026","passed","Tue Jan 20 04:55:51 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","4326","should not login when invalid username is provided","signup","Tue Jan 20 04:55:54 UTC 2026","passed","Tue Jan 20 04:55:58 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
