"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1498","should not show password maximum chars length inline error","signup","Tue Jan 20 03:32:36 UTC 2026","passed","Tue Jan 20 03:32:37 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2149","should not submit form and show inline errors when mandatory fields are empty","signup","Tue Jan 20 03:32:22 UTC 2026","passed","Tue Jan 20 03:32:24 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1106","should not show consent to a user that already accepted it","signup","Tue Jan 20 03:32:22 UTC 2026","passed","Tue Jan 20 03:32:23 UTC 2026","Consent Page - EN > Returning User","tests/consent.spec.ts","",""
"","2179","should switch language when clicking the language toggle","signup","Tue Jan 20 03:32:23 UTC 2026","passed","Tue Jan 20 03:32:25 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","4513","should not login when invalid username is provided","signup","Tue Jan 20 03:32:23 UTC 2026","passed","Tue Jan 20 03:32:28 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1889","should show password above maximum length inline error","signup","Tue Jan 20 03:32:32 UTC 2026","passed","Tue Jan 20 03:32:34 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","5022","should allow user to reset password","signup","Tue Jan 20 03:32:34 UTC 2026","passed","Tue Jan 20 03:32:39 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1984","should show invalid email address inline error","signup","Tue Jan 20 03:32:26 UTC 2026","passed","Tue Jan 20 03:32:28 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","3149","should show invalid email inline error when invalid email format is provided","signup","Tue Jan 20 03:32:28 UTC 2026","passed","Tue Jan 20 03:32:31 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","3048","should show inline errors when empty fields are submitted","signup","Tue Jan 20 03:32:31 UTC 2026","passed","Tue Jan 20 03:32:34 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2023","should display toast error when signup using email from existing user","signup","Tue Jan 20 03:32:31 UTC 2026","passed","Tue Jan 20 03:32:33 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","2131","should show password below minimum length inline error","signup","Tue Jan 20 03:32:30 UTC 2026","passed","Tue Jan 20 03:32:32 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","197","consent","accept-consent","Tue Jan 20 03:32:20 UTC 2026","passed","Tue Jan 20 03:32:21 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","2802","should signup link have correct href","signup","Tue Jan 20 03:32:39 UTC 2026","passed","Tue Jan 20 03:32:42 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1473","should have correct link for terms of service","signup","Tue Jan 20 03:32:29 UTC 2026","passed","Tue Jan 20 03:32:31 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","0","should show inline error when phone number and country selection are different","signup","Tue Jan 20 03:32:24 UTC 2026","skipped","Tue Jan 20 03:32:24 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","7469","should create account when valid inputs are provided and phone number is not from region of purchase","signup","Tue Jan 20 03:32:35 UTC 2026","passed","Tue Jan 20 03:32:42 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","1","should show consent on first visit","signup","Tue Jan 20 03:32:21 UTC 2026","skipped","Tue Jan 20 03:32:21 UTC 2026","Consent Page - EN > First Visit","tests/consent.spec.ts","",""
"","2167","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Tue Jan 20 03:32:20 UTC 2026","passed","Tue Jan 20 03:32:23 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should have correct link for privacy policy","signup","Tue Jan 20 03:32:31 UTC 2026","skipped","Tue Jan 20 03:32:31 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","9844","should block user after multiple failed login attempts","signup","Tue Jan 20 03:32:46 UTC 2026","passed","Tue Jan 20 03:32:55 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","2051","should show password mismatch inline error","signup","Tue Jan 20 03:32:28 UTC 2026","passed","Tue Jan 20 03:32:30 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should not allow account creation for non-Canadian phone numbers","signup","Tue Jan 20 03:32:50 UTC 2026","skipped","Tue Jan 20 03:32:50 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","2004","should not allow signup with malicious strings","signup","Tue Jan 20 03:32:33 UTC 2026","passed","Tue Jan 20 03:32:35 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","2141","should show invalid phone number inline error","signup","Tue Jan 20 03:32:24 UTC 2026","passed","Tue Jan 20 03:32:26 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","4593","should redirect to login page when clicking the login link","signup","Tue Jan 20 03:32:25 UTC 2026","passed","Tue Jan 20 03:32:29 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","3925","should not login when password provided is incorrect for an existing user","signup","Tue Jan 20 03:32:42 UTC 2026","passed","Tue Jan 20 03:32:46 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","0","should show invalid email inline error when email does not have characters after @","signup","Tue Jan 20 03:32:28 UTC 2026","skipped","Tue Jan 20 03:32:28 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1540","should show password does not match requirements inline error","signup","Tue Jan 20 03:32:37 UTC 2026","passed","Tue Jan 20 03:32:39 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","7847","should create account when valid inputs are provided","signup","Tue Jan 20 03:32:43 UTC 2026","passed","Tue Jan 20 03:32:50 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","1647","should not show password minimum chars length inline error","signup","Tue Jan 20 03:32:34 UTC 2026","passed","Tue Jan 20 03:32:36 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
