"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2965","should signup link have correct href","signup","Tue Jan 20 03:46:18 UTC 2026","passed","Tue Jan 20 03:46:21 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1654","should show invalid phone number inline error","signup","Tue Jan 20 03:46:00 UTC 2026","passed","Tue Jan 20 03:46:01 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1400","should not show password minimum chars length inline error","signup","Tue Jan 20 03:46:07 UTC 2026","passed","Tue Jan 20 03:46:09 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should not allow account creation for non-Canadian phone numbers","signup","Tue Jan 20 03:46:30 UTC 2026","skipped","Tue Jan 20 03:46:30 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","5180","should not login when invalid username is provided","signup","Tue Jan 20 03:46:01 UTC 2026","passed","Tue Jan 20 03:46:07 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","0","should show invalid email inline error when email does not have characters after @","signup","Tue Jan 20 03:46:07 UTC 2026","skipped","Tue Jan 20 03:46:07 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","181","consent","accept-consent","Tue Jan 20 03:45:59 UTC 2026","passed","Tue Jan 20 03:45:59 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","0","should show inline error when phone number and country selection are different","signup","Tue Jan 20 03:46:00 UTC 2026","skipped","Tue Jan 20 03:46:00 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","7977","should create account when valid inputs are provided","signup","Tue Jan 20 03:46:22 UTC 2026","passed","Tue Jan 20 03:46:30 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","1534","should show invalid email address inline error","signup","Tue Jan 20 03:46:01 UTC 2026","passed","Tue Jan 20 03:46:03 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","3173","should show inline errors when empty fields are submitted","signup","Tue Jan 20 03:46:10 UTC 2026","passed","Tue Jan 20 03:46:13 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1523","should not show password maximum chars length inline error","signup","Tue Jan 20 03:46:09 UTC 2026","passed","Tue Jan 20 03:46:10 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1860","should not submit form and show inline errors when mandatory fields are empty","signup","Tue Jan 20 03:45:58 UTC 2026","passed","Tue Jan 20 03:46:00 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","7172","should create account when valid inputs are provided and phone number is not from region of purchase","signup","Tue Jan 20 03:46:15 UTC 2026","passed","Tue Jan 20 03:46:22 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","3029","should show invalid email inline error when invalid email format is provided","signup","Tue Jan 20 03:46:07 UTC 2026","passed","Tue Jan 20 03:46:10 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1","should have correct link for privacy policy","signup","Tue Jan 20 03:46:11 UTC 2026","skipped","Tue Jan 20 03:46:11 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","2240","should switch language when clicking the language toggle","signup","Tue Jan 20 03:46:02 UTC 2026","passed","Tue Jan 20 03:46:04 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1701","should show password does not match requirements inline error","signup","Tue Jan 20 03:46:10 UTC 2026","passed","Tue Jan 20 03:46:12 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2192","should display toast error when signup using email from existing user","signup","Tue Jan 20 03:46:11 UTC 2026","passed","Tue Jan 20 03:46:13 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","2013","should not allow signup with malicious strings","signup","Tue Jan 20 03:46:13 UTC 2026","passed","Tue Jan 20 03:46:15 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1435","should not show consent to a user that already accepted it","signup","Tue Jan 20 03:46:00 UTC 2026","passed","Tue Jan 20 03:46:01 UTC 2026","Consent Page - EN > Returning User","tests/consent.spec.ts","",""
"","1444","should show password below minimum length inline error","signup","Tue Jan 20 03:46:04 UTC 2026","passed","Tue Jan 20 03:46:06 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","10180","should block user after multiple failed login attempts","signup","Tue Jan 20 03:46:25 UTC 2026","passed","Tue Jan 20 03:46:35 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","2000","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Tue Jan 20 03:46:00 UTC 2026","passed","Tue Jan 20 03:46:02 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1259","should have correct link for terms of service","signup","Tue Jan 20 03:46:10 UTC 2026","passed","Tue Jan 20 03:46:11 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1558","should show password above maximum length inline error","signup","Tue Jan 20 03:46:06 UTC 2026","passed","Tue Jan 20 03:46:07 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1432","should show password mismatch inline error","signup","Tue Jan 20 03:46:03 UTC 2026","passed","Tue Jan 20 03:46:04 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","4839","should allow user to reset password","signup","Tue Jan 20 03:46:13 UTC 2026","passed","Tue Jan 20 03:46:18 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","0","should show consent on first visit","signup","Tue Jan 20 03:45:59 UTC 2026","skipped","Tue Jan 20 03:45:59 UTC 2026","Consent Page - EN > First Visit","tests/consent.spec.ts","",""
"","5044","should redirect to login page when clicking the login link","signup","Tue Jan 20 03:46:04 UTC 2026","passed","Tue Jan 20 03:46:10 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","4072","should not login when password provided is incorrect for an existing user","signup","Tue Jan 20 03:46:21 UTC 2026","passed","Tue Jan 20 03:46:25 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
