"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3139","should signup link have correct href","signup","Tue Jan 20 05:00:33 UTC 2026","passed","Tue Jan 20 05:00:37 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","10463","should block user after multiple failed login attempts","signup","Tue Jan 20 05:00:41 UTC 2026","passed","Tue Jan 20 05:00:51 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","0","should show consent on first visit","signup","Tue Jan 20 05:00:14 UTC 2026","skipped","Tue Jan 20 05:00:14 UTC 2026","Consent Page - EN > First Visit","tests/consent.spec.ts","",""
"","1637","should not allow signup with malicious strings","signup","Tue Jan 20 05:00:26 UTC 2026","passed","Tue Jan 20 05:00:28 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1245","should have correct link for terms of service","signup","Tue Jan 20 05:00:23 UTC 2026","passed","Tue Jan 20 05:00:25 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1438","should not show consent to a user that already accepted it","signup","Tue Jan 20 05:00:15 UTC 2026","passed","Tue Jan 20 05:00:16 UTC 2026","Consent Page - EN > Returning User","tests/consent.spec.ts","",""
"","1682","should not submit form and show inline errors when mandatory fields are empty","signup","Tue Jan 20 05:00:37 UTC 2026","passed","Tue Jan 20 05:00:39 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","3176","should show invalid email inline error when invalid email format is provided","signup","Tue Jan 20 05:00:22 UTC 2026","passed","Tue Jan 20 05:00:25 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1744","should display toast error when signup using email from existing user","signup","Tue Jan 20 05:00:25 UTC 2026","passed","Tue Jan 20 05:00:26 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","3193","should show inline errors when empty fields are submitted","signup","Tue Jan 20 05:00:25 UTC 2026","passed","Tue Jan 20 05:00:28 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1819","should show password below minimum length inline error","signup","Tue Jan 20 05:00:45 UTC 2026","passed","Tue Jan 20 05:00:47 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1","should show inline error when phone number and country selection are different","signup","Tue Jan 20 05:00:39 UTC 2026","skipped","Tue Jan 20 05:00:39 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","3072","should show password mismatch inline error","signup","Tue Jan 20 05:00:42 UTC 2026","passed","Tue Jan 20 05:00:45 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","5431","should allow user to reset password","signup","Tue Jan 20 05:00:28 UTC 2026","passed","Tue Jan 20 05:00:33 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","684","consent","accept-consent","Tue Jan 20 05:00:31 UTC 2026","passed","Tue Jan 20 05:00:31 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","1413","should switch language when clicking the language toggle","signup","Tue Jan 20 05:00:18 UTC 2026","passed","Tue Jan 20 05:00:19 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","4233","should not login when password provided is incorrect for an existing user","signup","Tue Jan 20 05:00:37 UTC 2026","passed","Tue Jan 20 05:00:41 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1","should have correct link for privacy policy","signup","Tue Jan 20 05:00:25 UTC 2026","skipped","Tue Jan 20 05:00:25 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1665","should show password above maximum length inline error","signup","Tue Jan 20 05:00:47 UTC 2026","passed","Tue Jan 20 05:00:49 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1920","should not show error when password contains special chars(?!#_- ) but meets all requirements","signup","Tue Jan 20 05:00:16 UTC 2026","passed","Tue Jan 20 05:00:18 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should show invalid email inline error when email does not have characters after @","signup","Tue Jan 20 05:00:22 UTC 2026","skipped","Tue Jan 20 05:00:22 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","4073","should redirect to login page when clicking the login link","signup","Tue Jan 20 05:00:19 UTC 2026","passed","Tue Jan 20 05:00:23 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","0","should not allow account creation for non-Canadian phone numbers","signup","Tue Jan 20 05:00:41 UTC 2026","skipped","Tue Jan 20 05:00:41 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","5100","should not login when invalid username is provided","signup","Tue Jan 20 05:00:16 UTC 2026","passed","Tue Jan 20 05:00:22 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1530","should show password does not match requirements inline error","signup","Tue Jan 20 05:00:52 UTC 2026","passed","Tue Jan 20 05:00:53 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","6167","should create account when valid inputs are provided","signup","Tue Jan 20 05:00:35 UTC 2026","passed","Tue Jan 20 05:00:41 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","1461","should not show password maximum chars length inline error","signup","Tue Jan 20 05:00:50 UTC 2026","passed","Tue Jan 20 05:00:52 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1560","should show invalid phone number inline error","signup","Tue Jan 20 05:00:39 UTC 2026","passed","Tue Jan 20 05:00:41 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","1619","should show invalid email address inline error","signup","Tue Jan 20 05:00:41 UTC 2026","passed","Tue Jan 20 05:00:42 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","6464","should create account when valid inputs are provided and phone number is not from region of purchase","signup","Tue Jan 20 05:00:28 UTC 2026","passed","Tue Jan 20 05:00:35 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","1503","should not show password minimum chars length inline error","signup","Tue Jan 20 05:00:49 UTC 2026","passed","Tue Jan 20 05:00:50 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
