"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3883","should redirect to login page when clicking the login link","signup","Mon Jan 19 00:19:05 UTC 2026","passed","Mon Jan 19 00:19:09 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","2919","should show inline errors when empty fields are submitted","signup","Mon Jan 19 00:19:06 UTC 2026","passed","Mon Jan 19 00:19:09 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","0","should show consent on first visit","signup","Mon Jan 19 00:18:57 UTC 2026","skipped","Mon Jan 19 00:18:57 UTC 2026","Consent Page - EN > First Visit","tests/consent.spec.ts","",""
"","0","should show invalid email inline error when email does not have characters after @","signup","Mon Jan 19 00:19:03 UTC 2026","skipped","Mon Jan 19 00:19:03 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","9005","should block user after multiple failed login attempts","signup","Mon Jan 19 00:19:21 UTC 2026","passed","Mon Jan 19 00:19:30 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","2001","should show password below minimum length inline error","signup","Mon Jan 19 00:19:09 UTC 2026","passed","Mon Jan 19 00:19:11 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","3928","should not login when password provided is incorrect for an existing user","signup","Mon Jan 19 00:19:17 UTC 2026","passed","Mon Jan 19 00:19:21 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","2508","should show password above maximum length inline error","signup","Mon Jan 19 00:19:11 UTC 2026","passed","Mon Jan 19 00:19:14 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","0","should show inline error when phone number and country selection are different","signup","Mon Jan 19 00:19:03 UTC 2026","skipped","Mon Jan 19 00:19:03 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","6225","should create account when valid inputs are provided","signup","Mon Jan 19 00:19:20 UTC 2026","passed","Mon Jan 19 00:19:26 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
"","185","consent","accept-consent","Mon Jan 19 00:19:00 UTC 2026","passed","Mon Jan 19 00:19:00 UTC 2026","","setup/acceptConsent.setup.ts","",""
"","1","should have correct link for privacy policy","signup","Mon Jan 19 00:19:10 UTC 2026","skipped","Mon Jan 19 00:19:10 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
